江西联通线路,#genre#
纪实人文,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227040/10000100000000060000000000570944_0.smil
风尚购物,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227263/10000100000000060000000001461890_0.smil
快乐垂钓,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227048/10000100000000060000000000571123_0.smil
茶频道,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227052/10000100000000060000000000571127_0.smil
优优宝贝,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227274/10000100000000060000000001646416_0.smil
环球旅游,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227272/10000100000000060000000001646421_0.smil
武术世界,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227278/10000100000000060000000001646403_0.smil
金鹰卡通,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227312/10000100000000060000000001945876_0.smil
炫动卡通,rtsp://118.212.169.207:554/PLTV/88888888/224/3221226968/10000100000000060000000000568712_0.smil
新动漫,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227212/10000100000000060000000000680199_0.smil
先锋乒羽,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227209/10000100000000060000000000680201_0.smil
求索记录,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227269/10000100000000060000000001646407_0.smil
生态环境,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227275/10000100000000060000000001646425_0.smil
文物宝库,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227273/10000100000000060000000001646408_0.smil
家庭理财,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227280/10000100000000060000000001646426_0.smil
车迷频道,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227282/10000100000000060000000001646427_0.smil
梨园频道,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227267/10000100000000060000000001646411_0.smil
四海钓鱼,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227277/10000100000000060000000001646431_0.smil
中华特产,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227279/10000100000000060000000001646439_0.smil
中国天气,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227288/10000100000000060000000001646552_0.smil
证券服务,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227286/10000100000000060000000001646447_0.smil
百姓健康,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227276/10000100000000060000000001646451_0.smil
财富天下,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227296/10000100000000060000000001842698_0.smil


第一剧场,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227225/10000100000000060000000000680077_0.smil
风云剧场,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227223/10000100000000060000000000680087_0.smil
怀旧剧场,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227224/10000100000000060000000000680135_0.smil
世界地理,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227222/10000100000000060000000000680136_0.smil
风云音乐,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227226/10000100000000060000000000680078_0.smil
央视台球,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227221/10000100000000060000000000680137_0.smil
女性时尚,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227219/10000100000000060000000000680138_0.smil
央视文化精品,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227220/10000100000000060000000000680139_0.smil
高尔夫网球,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227217/10000100000000060000000000680140_0.smil
风云足球,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227218/10000100000000060000000000680161_0.smil
兵器科技,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227216/10000100000000060000000000680162_0.smil

精彩影视,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227271/10000100000000060000000001646400_0.smil
CHC高清电影,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227215/10000100000000060000000000680163_0.smil
CHC家庭影院,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227213/10000100000000060000000000680164_0.smil
CHC动作电影,rtsp://118.212.169.207:554/PLTV/88888888/224/3221227214/10000100000000060000000000680177_0.smil



